x_cm,Potential_V,Electrons_cm3,Holes_cm3
-0.09117234984306234,-0.6576447899250016,9998.085263062265,1.0000000000009998e+16
-0.08441373045851006,-0.6576447899249309,9996.31907304724,1.0000000000009996e+16
-0.07779304208180578,-0.6576447899248615,9993.014516530653,1.0000000000009994e+16
-0.07130746979442198,-0.6576447899247936,9986.910267500945,1.0000000000009986e+16
-0.06495425612514807,-0.6576447899247271,9975.775076216149,1.0000000000009976e+16
-0.05873069987769608,-0.6576447899246619,9955.71137510768,1.0000000000009956e+16
-0.0526341549822329,-0.6576447899245981,9919.994589734635,1.000000000000992e+16
-0.046662029370350605,-0.6576447899245357,9857.162700624069,1.0000000000009858e+16
-0.04081178387299652,-0.6576447899244747,9747.910227019058,1.0000000000009748e+16
-0.035080931140894556,-0.6576447899244151,9560.099108380164,1.000000000000956e+16
-0.029467034586998755,-0.6576447899243572,9240.839394248156,1.000000000000924e+16
-0.0239677073505294,-0.657644789924301,8704.064519788702,1.0000000000008704e+16
-0.018580611282151254,-0.6576447899242468,7811.259923116698,1.0000000000007812e+16
-0.013303455949862458,-0.6576447899241953,6341.906419280783,1.0000000000006342e+16
-0.008133997665171394,-0.6576447899233545,3948.6469471748496,9999999999697698.0
-0.003070038529147494,-0.6576434974772859,90.1152901393544,9999500751375764.0
0.0,0.3576434872389225,9999496794586098.0,136.5780272946794
0.005,0.35764478992848514,9999999999688390.0,5016.651522939207
0.010104166666666666,0.35764478992933474,1.0000000000007516e+16,7516.531263617592
0.015314670138888887,0.35764478992936366,1.000000000000878e+16,8779.506702924957
0.020633725766782404,0.35764478992939236,1.0000000000009408e+16,9408.656798166454
0.02606359505359037,0.3576447899294212,1.0000000000009718e+16,9717.604305707142
0.03160658661720683,0.3576447899294504,1.0000000000009868e+16,9867.114976316023
0.03726505717173197,0.3576447899294802,1.0000000000009938e+16,9938.400486049515
0.04304141252947639,0.3576447899295105,1.0000000000009972e+16,9971.87813467626
0.04893810862384047,0.35764478992954135,1.0000000000009988e+16,9987.359698875738
0.054957652553503815,0.35764478992957294,1.0000000000009994e+16,9994.407620782416
0.061102603648368475,0.35764478992960513,1.0000000000009998e+16,9997.565332051165
0.06737557455770948,0.357644789929638,1.0000000000009998e+16,9998.957290208997
0.0737792323609951,0.3576447899296715,1.000000000001e+16,9999.560819494098
0.08031629970184916,0.3576447899297058,1.000000000001e+16,9999.818133575802
0.08698955594563768,0.35764478992974075,1.000000000001e+16,9999.925977360806
0.09380183836117179,0.35764478992977644,1.000000000001e+16,9999.970395984645
0.10075604332702952,0.35764478992981286,1.000000000001e+16,9999.988369966175
0.10785512756300929,0.35764478992985005,1.000000000001e+16,9999.995513322236
0.11510210938723864,0.357644789929888,1.000000000001e+16,9999.998300775262
0.12250006999947277,0.35764478992992677,1.000000000001e+16,9999.999368421528
0.13005215479112844,0.3576447899299663,1.000000000001e+16,9999.999769683518
0.13776157468261027,0.3576447899300067,1.000000000001e+16,9999.999917619796
0.145631607488498,0.35764478993004795,1.000000000001e+16,9999.99997110475
0.15366559931117502,0.35764478993009,1.000000000001e+16,9999.999990061422
0.16186696596349115,0.357644789930133,1.000000000001e+16,9999.999996646011
0.17023919442106386,0.35764478993017684,1.000000000001e+16,9999.999998886757
0.17878584430483602,0.3576447899302216,1.000000000001e+16,9999.999999633577
0.18751054939452008,0.3576447899302673,1.000000000001e+16,9999.999999877278
0.19641701917357257,0.35764478993031396,1.000000000001e+16,9999.999999955113
0.20550904040635531,0.3576447899303616,1.000000000001e+16,9999.999999979438
0.21479047874815438,0.3576447899304102,1.000000000001e+16,9999.999999986872
0.2242652803887409,0.35764478993045984,1.000000000001e+16,9999.999999989093
0.23393747373017298,0.3576447899305105,1.000000000001e+16,9999.999999989743
0.24381117109955158,0.35764478993056226,1.000000000001e+16,9999.999999989926
0.25,0.3576447899305947,1.000000000001e+16,9999.999999989968
0.26,0.3576447899306471,1.000000000001e+16,9999.999999989992
0.2713846153846154,0.3576447899307067,1.000000000001e+16,9999.999999989997
0.28434556213017753,0.3576447899307746,1.000000000001e+16,9999.99999999
0.29910110150204827,0.3576447899308519,1.000000000001e+16,9999.99999999
0.315899715556178,0.3576447899309399,1.000000000001e+16,9999.99999999
0.3350242915562642,0.3576447899310401,1.000000000001e+16,9999.99999999
0.3567968857717469,0.3576447899311541,1.000000000001e+16,9999.99999999
0.38158414687860415,0.35764478993128396,1.000000000001e+16,9999.99999999
0.40980349029256474,0.3576447899314318,1.000000000001e+16,9999.99999999
0.44193012740999676,0.3576447899316001,1.000000000001e+16,9999.99999999
0.478505068128304,0.3576447899317917,1.000000000001e+16,9999.99999999
0.5201442314076077,0.3576447899320098,1.000000000001e+16,9999.99999999
0.5675488172948149,0.3576447899322582,1.000000000001e+16,9999.99999999
0.6215171150740969,0.3576447899325409,1.000000000001e+16,9999.99999999
0.6829579463920488,0.35764478993286275,1.000000000001e+16,9999.99999999
0.7529059697386401,0.3576447899332292,1.000000000001e+16,9999.99999999
0.8325391040101441,0.35764478993364635,1.000000000001e+16,9999.99999999
0.9231983645653947,0.35764478993412124,1.000000000001e+16,9999.99999999
1.0,0.3576447899345236,1.000000000001e+16,9999.99999999
