x_cm,Potential_V,Electrons_cm3,Holes_cm3
-0.05873069987769608,-0.057645837031931914,4725929.26546639,1.0000000004725928e+16
-0.0526341549822329,-0.05764584380415281,8529113.141304575,1.0000000008529112e+16
-0.046662029370350605,-0.05764585043048987,15219558.383005952,1.0000000015219556e+16
-0.04081178387299652,-0.05764585690844619,26852944.079571705,1.000000002685294e+16
-0.035080931140894556,-0.05764586323192991,46851382.929140136,1.0000000046851376e+16
-0.029467034586998755,-0.057645869389072416,80846681.78270856,1.000000008084667e+16
-0.0239677073505294,-0.057645875358804576,138003345.62584677,1.0000000138003324e+16
-0.018580611282151254,-0.05764588110554574,233070624.20865422,1.0000000233070588e+16
-0.013303455949862458,-0.0576458865710575,389529747.1352449,1.0000000389529688e+16
-0.008133997665171394,-0.057645891661762164,644367837.7692982,1.0000000644242472e+16
-0.003070038529147494,-0.057645367580879285,1055258504.873899,9999796843979636.0
0.0,0.35764481466632264,9999795213644758.0,1043397644.029183
0.005,0.35764534405751064,1.0000000527021738e+16,527151167.32037175
0.010104166666666666,0.357645340876517,1.000000026271266e+16,262712620.03267196
0.015314670138888887,0.3576453378053956,1.0000000129114446e+16,129114426.69062209
0.020633725766782404,0.3576453347606772,1.000000006256261e+16,62562600.57688485
0.02606359505359037,0.3576453316981633,1.0000000029881974e+16,29881969.576709643
0.03160658661720683,0.35764532859455805,1.0000000014066652e+16,14066650.667478846
0.03726505717173197,0.35764532543743127,1.0000000006526032e+16,6526030.759788065
0.04304141252947639,0.35764532221991097,1.0000000002984748e+16,2984746.7000153144
0.04893810862384047,0.35764531893791845,1.0000000001347098e+16,1347098.2327471809
0.054957652553503815,0.35764531558874996,1.0000000000601566e+16,601565.0878582144
0.061102603648368475,0.35764531217035983,1.000000000026754e+16,267540.5913639554
0.06737557455770948,0.3576453086810041,1.0000000000120298e+16,120298.45484755565
0.0737792323609951,0.3576453051190653,1.0000000000056456e+16,56456.77475402348
0.08031629970184916,0.3576453014829686,1.0000000000029238e+16,29237.93909783284
0.08698955594563768,0.35764529777114107,1.000000000001783e+16,17830.15896953785
0.09380183836117179,0.3576452939819928,1.0000000000013132e+16,13131.530013876863
0.10075604332702952,0.3576452901139077,1.000000000001123e+16,11230.231212229204
0.10785512756300929,0.357645286165239,1.0000000000010474e+16,10474.602565477522
0.11510210938723864,0.357645282134307,1.000000000001018e+16,10179.744028117133
0.12250006999947277,0.3576452780193975,1.0000000000010066e+16,10066.807724568722
0.13005215479112844,0.3576452738187608,1.0000000000010024e+16,10024.36197164247
0.13776157468261027,0.35764526953061093,1.0000000000010008e+16,10008.713175258677
0.145631607488498,0.35764526515312456,1.0000000000010004e+16,10003.055501488443
0.15366559931117502,0.3576452606844406,1.0000000000010002e+16,10001.050251858853
0.16186696596349115,0.357645256122659,1.000000000001e+16,10000.353729568038
0.17023919442106386,0.3576452514658403,1.000000000001e+16,10000.11670177625
0.17878584430483602,0.35764524671200454,1.000000000001e+16,10000.037702685026
0.18751054939452008,0.3576452418591306,1.000000000001e+16,10000.011923824986
0.19641701917357257,0.35764523690515504,1.000000000001e+16,10000.003690340123
0.20550904040635531,0.3576452318479717,1.000000000001e+16,10000.001117333608
0.21479047874815438,0.35764522668543036,1.000000000001e+16,10000.0003308467
0.2242652803887409,0.35764522141533606,1.000000000001e+16,10000.00009579367
0.23393747373017298,0.3576452160354482,1.000000000001e+16,10000.000027184917
0.24381117109955158,0.35764521054347925,1.000000000001e+16,10000.000007831539
0.25,0.3576452071011157,1.000000000001e+16,10000.000003228817
0.26,0.35764520153889445,1.000000000001e+16,10000.000000855232
0.2713846153846154,0.35764519520651955,1.000000000001e+16,10000.000000187256
0.28434556213017753,0.35764518799735423,1.000000000001e+16,10000.000000027881
0.29910110150204827,0.35764517978999677,1.000000000001e+16,9999.999999996053
0.315899715556178,0.357645170446236,1.000000000001e+16,9999.999999990794
0.3350242915562642,0.35764515980872374,1.000000000001e+16,9999.999999990085
0.3567968857717469,0.35764514769832517,1.000000000001e+16,9999.999999990006
0.38158414687860415,0.3576451339111022,1.000000000001e+16,9999.99999999
0.40980349029256474,0.3576451182148791,1.000000000001e+16,9999.99999999
0.44193012740999676,0.3576451003453328,1.000000000001e+16,9999.99999999
0.478505068128304,0.35764508000154166,1.000000000001e+16,9999.99999999
0.5201442314076077,0.35764505684091785,1.000000000001e+16,9999.99999999
0.5675488172948149,0.35764503047343843,1.000000000001e+16,9999.99999999
0.6215171150740969,0.3576450004550773,1.000000000001e+16,9999.99999999
0.6829579463920488,0.35764496628032766,1.000000000001e+16,9999.99999999
0.7529059697386401,0.35764492737368964,1.000000000001e+16,9999.99999999
0.8325391040101441,0.35764488307997866,1.000000000001e+16,9999.99999999
0.9231983645653947,0.3576448326532923,1.000000000001e+16,9999.99999999
1.0,0.3576447899345236,1.000000000001e+16,9999.99999999
