x,y,Potential,Electrons,Holes
0.2712807810104092,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.2712807810104092,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.310319941373625,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.3477817619241856,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.38372997356361244,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.41822573220750686,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.45132772282538536,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.4830922592768849,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.15000000000000002,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.2,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.25,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.3,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.35,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.39999999999999997,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.44999999999999996,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5135733801141825,0.5,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5428229405136095,0.0,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5428229405136095,0.05,-0.35764323589921576,9999.99999999,1.000000000001e+16
0.5428229405136095,0.1,-0.35764323589921576,9999.99999999,1.000000000001e+16
